project_id,transaction_id,tract_geoid_2010,metro_2010,year,cde_name,qlici_amount,city,state,zip,purpose,qalicb_type,multi_cde,multi_tract
FL0107,2507,12057004200,Metropolitan,2014,"Whitney New Markets Fund, LLC",1300000,Tampa,FL,33602,Real Estate–Rehabilitation–Commercial,SPE,YES,NO
FL0108,2508,12031017200,Metropolitan,2015,"Florida Community Loan Fund, Inc.",6646000,Jacksonville,FL,32202,Real Estate–Rehabilitation–Commercial,RE,YES,NO
FL0108,2509,12031017200,Metropolitan,2015,"Florida Community Loan Fund, Inc.",2904000,Jacksonville,FL,32202,Real Estate–Rehabilitation–Commercial,RE,YES,NO
FL0108,2510,12031017200,Metropolitan,2014,Chase New Markets Corporation,2658400,Jacksonville,FL,32202,Real Estate–Rehabilitation–Commercial,RE,YES,NO
FL0108,2511,12031017200,Metropolitan,2014,Chase New Markets Corporation,1341600,Jacksonville,FL,32202,Real Estate–Rehabilitation–Commercial,RE,YES,NO
FL0108,2514,12031017200,Metropolitan,2014,"Consortium America, LLC",3215700,Jacksonville,Fl,32202,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
FL0108,2515,12031017200,Metropolitan,2014,"Consortium America, LLC",1194300,Jacksonville,Fl,32202,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,RE,YES,NO
FL0108,2512,12031017200,Metropolitan,2014,Local Initiatives Support Corporation,3323000,Jacksonville,FL,32202,Real Estate–Rehabilitation–Commercial,RE,YES,NO
FL0108,2513,12031017200,Metropolitan,2014,Local Initiatives Support Corporation,1502000,Jacksonville,FL,32202,Real Estate–Rehabilitation–Commercial,RE,YES,NO
FL0109,2516,12029970200,Non-Metropolitan,2014,Boston Community Capital Inc.,15000000,Horseshoe Beach,FL,32648,Business Financing,NRE,YES,NO
FL0109,2517,12029970200,Non-Metropolitan,2014,"AMCREF Community Capital, LLC",10000000,Horseshoe Beach,FL,32648,Business Financing,NRE,YES,NO
FL0110,2518,12086000712,Metropolitan,2014,"Advantage Capital Community Development Fund, LLC",5000000,Hialeah,FL,33010,Real Estate–Rehabilitation–Commercial,SPE,NO,NO
FL0110,2519,12086000712,Metropolitan,2014,"Advantage Capital Community Development Fund, LLC",1530000,Hialeah,FL,33010,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
FL0111,2520,12086000605,Metropolitan,2014,"Advantage Capital Community Development Fund, LLC",10000000,Hialeah,FL,33013,Business Financing,NRE,NO,NO
FL0112,2521,12086000712,Metropolitan,2014,Self-Help Ventures Fund,3764524,Hialeah,FL,33010,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
FL0112,2522,12086000712,Metropolitan,2014,Self-Help Ventures Fund,1692013,Hialeah,FL,33010,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
FL0112,2523,12086000712,Metropolitan,2014,Self-Help Ventures Fund,1993463,Hialeah,FL,33010,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
FL0112,2524,12086000712,Metropolitan,2014,Self-Help Ventures Fund,2000000,Hialeah,FL,33010,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,SPE,NO,NO
FL0113,2525,12031011800,Metropolitan,2014,"Advantage Capital Community Development Fund, LLC",1800000,Jacksonville,FL,32254,Business Financing,NRE,NO,NO
FL0113,2526,12031011800,Metropolitan,2014,"Advantage Capital Community Development Fund, LLC",1450000,Jacksonville,FL,32254,Business Financing,NRE,NO,NO
FL0113,2527,12031011800,Metropolitan,2014,"Advantage Capital Community Development Fund, LLC",1500000,Jacksonville,FL,32254,Business Financing,NRE,NO,NO
FL0113,2528,12031011800,Metropolitan,2014,"Advantage Capital Community Development Fund, LLC",1550000,Jacksonville,FL,32254,Business Financing,NRE,NO,NO
FL0114,2529,12061050904,Metropolitan,2014,"Stonehenge Community Development, LLC",2111053,Fellsmere,FL,32948,Business Financing,NRE,NO,NO
FL0114,2530,12061050904,Metropolitan,2014,"Stonehenge Community Development, LLC",1888947,Fellsmere,FL,32948,Business Financing,NRE,NO,NO
FL0115,2531,12019031500,Metropolitan,2014,"Advantage Capital Community Development Fund, LLC",3900000,Green Cove Springs,FL,32043,Business Financing,NRE,NO,NO
FL0115,2532,12019031500,Metropolitan,2014,"Advantage Capital Community Development Fund, LLC",2952000,Green Cove Springs,FL,32043,Business Financing,NRE,NO,NO
FL0115,2533,12019031500,Metropolitan,2014,"Advantage Capital Community Development Fund, LLC",2089080,Green Cove Springs,FL,32043,Business Financing,NRE,NO,NO
FL0116,2534,12105011204,Metropolitan,2014,"Advantage Capital Community Development Fund, LLC",2000000,Lakeland,FL,33805,Business Financing,NRE,NO,NO
FL0116,2535,12105011204,Metropolitan,2015,"Advantage Capital Community Development Fund, LLC",334000,Lakeland,FL,33805,Business Financing,NRE,NO,NO
FL0116,2536,12105011204,Metropolitan,2015,"Advantage Capital Community Development Fund, LLC",333000,Lakeland,FL,33805,Business Financing,NRE,NO,NO
FL0116,2537,12105011204,Metropolitan,2015,"Advantage Capital Community Development Fund, LLC",333000,Lakeland,FL,33805,Business Financing,NRE,NO,NO
FL0117,2538,12099001500,Metropolitan,2014,"Community Hospitality Healthcare Services, LLC",5737962,Riviera Beach,FL,33404,Business Financing,NRE,NO,NO
FL0117,2539,12099001500,Metropolitan,2014,"Community Hospitality Healthcare Services, LLC",3962038,Riviera Beach,FL,33404,Business Financing,NRE,NO,NO
FL0118,2540,12103024601,Metropolitan,2014,"Florida Community Loan Fund, Inc.",4762500,St Petersburg,FL,33702,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
FL0118,2541,12103024601,Metropolitan,2014,"Florida Community Loan Fund, Inc.",4579326.93,St Petersburg,FL,33702,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
FL0118,2542,12103024601,Metropolitan,2014,"Florida Community Loan Fund, Inc.",2088173.07,St Petersburg,FL,33702,Real Estate – Construction/Permanent/Acquisition w/o Rehab – Commercial,NRE,NO,NO
FL0119,2543,12103020600,Metropolitan,2014,"Whitney New Markets Fund, LLC",3750000,St. Petersburg,FL,33712,Real Estate–Rehabilitation–Commercial,NRE,NO,NO
FL0119,2544,12103020500,Metropolitan,2014,"Whitney New Markets Fund, LLC",1250000,St. Petersburg,FL,33712,Real Estate–Rehabilitation–Commercial,NRE,NO,NO
FL0120,2545,12051000600,Non-Metropolitan,2014,"AMCREF Community Capital, LLC",5847029,Clewiston,FL,33440,Business Financing,NRE,NO,NO
FL0120,2546,12051000600,Non-Metropolitan,2014,"AMCREF Community Capital, LLC",3652971,Clewiston,FL,33440,Business Financing,NRE,NO,NO
FL0121,2547,12033000100,Metropolitan,2014,"Urban Development Fund, LLC",5044350,Pensacola,FL,32502,Real Estate–Rehabilitation–Commercial,NRE,NO,NO
FL0121,2548,12033000100,Metropolitan,2014,"Urban Development Fund, LLC",1524747,Pensacola,FL,32502,Real Estate–Rehabilitation–Commercial,NRE,NO,NO
FL0121,2549,12033000100,Metropolitan,2014,"Urban Development Fund, LLC",1675903,Pensacola,FL,32502,Real Estate–Rehabilitation–Commercial,NRE,NO,NO
FL0122,2550,12086000903,Metropolitan,2014,"Florida Community Loan Fund, Inc.",5639015,Miami,FL,33147,Business Financing,NRE,NO,NO
FL0122,2551,12086000903,Metropolitan,2014,"Florida Community Loan Fund, Inc.",2450180,Miami,FL,33147,Business Financing,NRE,NO,NO
FL0122,2552,12086000903,Metropolitan,2014,"Florida Community Loan Fund, Inc.",1010805,Miami,FL,33147,Business Financing,NRE,NO,NO
FL0123,2553,12113010600,Metropolitan,2016,"The Valued Advisor Fund, LLC",718.71,Milton,FL,32570,Business Financing,NRE,YES,NO
FL0123,2554,12113010600,Metropolitan,2015,"PNC Community Partners, Inc.",989281.29,Milton,FL,32570,Business Financing,NRE,YES,NO
